Employee_ID,Employee_Name,College_Degree,Department,Job_Role,DMC_Campus,Email,Phone_Number,Performance_Rating
379985,CHRISTOPHER SCOTT,Education,R&D,marketing associate,Main,COREY13@ExAmPLE.NEt,9362331908,2
199784,Nicholas Brennan,Political Science,Tech,marketiNG assOciaTe,Main,Karenmaldonado@Example.Com,9177747173,5
144673, Karen Evans ,Computer Science,Finance, System Administrator ,Candaba,kimberlyclark@example.com,9719761469,2
443701,ricky ross,Computer Science,Finance, HR Specialist ,Porac,Josephtaylor@Example.Com,9880051356,2
596301, Teresa Hutchinson ,Communications,Admin,Data Analyst,Candaba,Ibyrd@Example.Net,9814822057,2
695271, Andrea Zavala ,Accountancy,Marketing,SOftWaRE ENGinEEr,Main,AMBERHARRELL@EXAMPLE.ORG,9177582327,5
921840,joshua watkins,Psychology,Operations, Marketing Associate ,Mexico,BFRY@EXAMPLE.COM,9862832538,4
202648,Nicole Sanchez  ,Accountancy,HR,tEAcHEr,Main,Yparks@Example.Com,9112969771,3
130125,VANESSA FOLEY,Education,Admin, Project Manager ,San Fernando,mariah79@example.net  ,9744104791,2
324976,susan patterson,Political Science,Operations,Finance Officer,Santo Tomas,YHubbArd@EXAmpLe.NEt,9321952694,1
786749,ERIN RAMSEY,Human Resource Management,Tech,ProJEcT manAGEr,Mexico,Lisa59@Example.Net,9288114869,5
112936,ShANe jEnkiNs,Communications,Operations,teacher,San Fernando,wwOODs@eXAMple.OrG,9929116717,4
558714,Jacob Haynes,Engineering,Finance,teacHer,Porac,craigpeterson@example.net  ,9568052111,4
210542,david clark dds,Business Administration,HR,Data Analyst,Main,Diane55@Example.Com,9660659444,3
294660,mAnuEl Hill,Computer Science,Tech,PRODUCT MANAGER,Main,kevinshea@example.org,9694367003,2
252857,lIsA hOOVer,Business Administration,Marketing,Teacher  ,Main,Ycoleman@Example.Com,9718138281,5
812767,joseph strickland,Accountancy,Tech,Finance Officer  ,Main,Johnwhite@Example.Com,9948112443,2
106339,Mark Fernandez,Computer Science,Tech,Research Assistant  ,Main,hopkinsjennifer@example.org,9456301158,4
568381,JEFFREY PALMER,Information Technology,Operations,MARKETING ASSOCIATE,Main,johnhall@example.net  ,9932646885,3
366493,HARRY BUTLER,Communications,R&D,Data Analyst,Porac,ERIN35@EXAMPLE.ORG,9319934177,5
558037,MELANIE RICHARDS,Communications,Tech,Software Engineer,Porac,JONESANGELA@EXAMPLE.COM,9345773315,4
970389,michael mason,Information Technology,Admin,Marketing Associate,Main,geORGeaDAMs@ExAmpLE.ORG,9283779984,3
677752,christine wilson,Information Technology,R&D,Product Manager,Main,powellluis@example.org,9988549689,4
470878, Sally Smith ,Engineering,Operations,FINANCE OFFICER,Main,Marshallnatalie@Example.Net,9433566454,4
388414,Dawn SanchEz,Political Science,HR, Project Manager ,Apalit,John14@Example.Com,9920848834,4
645037,KiMBerLy ParKer,Education,HR,FinAncE OFFICEr,Candaba,QTAYLOR@EXAMPLE.NET,9114308421,3
812507,megAn sIMpson,Accountancy,R&D,Finance Officer,Main,HUDSONROBERT@EXAMPLE.ORG,9971190701,4
484540,MICHELE CARLSON,Political Science,HR,PRodUCT ManaGEr,Santo Tomas,wilkersonkristen@example.com  ,9986058042,4
515875, David Torres ,Communications,Tech,sOfTwArE eNGineER,Apalit,DMenDoZa@eXampLe.coM,9743271550,1
848654,sIERRa ENgLISH,Education,Admin,PRODUCT MANAGER,Main,ROdRiGuEZjeffERy@exAmple.Com,9582453133,3
108096,WILLIAM HAMILTON,Communications,Finance,softwARe enGiNeeR,Main,Hjohnson@Example.Com,9960671016,5
179393,Melissa Evans,Education,Finance,SOFTWARE ENGINEER,Main,bryaneverett@example.org,9685194211,2
894724,CrySTal blair,Human Resource Management,HR,system administrator,Main,ygray@example.org,9653173518,4
347320,JENNIFER HENDERSON,Computer Science,Tech,DaTa AnALYst,Apalit,rIcardo48@exAMPle.net,9478183327,3
759432,ROBERT MARTINEZ,Information Technology,Admin,MARKETING ASSOCIATE,Main,charles48@example.net  ,9615404701,4
282555,ZACHARY CASEY,Business Administration,Operations,marketing associate,Main,sherry35@example.net  ,9863409547,2
773471,april walter,Business Administration,Tech,daTa AnalYst,Santo Tomas,gREenexAViEr@ExAMple.ORg,9669014149,1
679857,James Jensen,Psychology,Finance,Project Manager  ,Mexico,BLOPEZ@EXAMPLE.COM,9366780992,2
787640,shelly gomez,Engineering,Tech,PrOduct MaNAGER,Main,parkErkylIE@EXaMpLe.CoM,9151187900,5
539914,RICHARD PHILLIPS,Education,HR,TeACheR,Mexico,Johnhaynes@Example.Org,9348017058,1
705077, Raymond Taylor ,Education,Operations,Marketing Associate  ,Lubao,jessica08@example.com  ,9939252825,5
901726, Kimberly Ray ,Education,Finance,rESEarCH ASSISTanT,San Fernando,cABRErakennETh@ExaMple.oRG,9388669156,2
271614,brian collins,Psychology,Admin, Finance Officer ,Main,ROBERTHERNANDEZ@EXAMPLE.ORG,9937964744,1
340983,Jesus Allen  ,Psychology,HR,Project Manager,San Fernando,JONESJOHN@EXAMPLE.ORG,9987421667,2
175576,lauren carter,Psychology,R&D,teacher,Candaba,espinozachristopher@example.org,9947139017,3
529183,JASON SIMPSON,Communications,Marketing,hr specialist,Main,kathleen27@example.net,9614925988,5
895519,Ryan Riddle,Accountancy,Marketing,Teacher,Apalit,cAMpbElljoseph@ExAmPle.nET,9737763591,2
316195,lOGAn ayerS,Political Science,R&D,SOftwARE ENGiNeeR,San Fernando,jOhnstoNCynThia@ExAMPLe.ORg,9574878055,2
151054,Mike Schneider,Information Technology,Finance,SYSTEM ADMINISTRATOR,Candaba,KURT94@EXAMPLE.NET,9144166582,4
791966,james jones,Psychology,Admin,HR SpECialISt,Main,Amber45@Example.Org,9560856321,2
698459, Debra Taylor ,Psychology,Admin,Hr SPecIALisT,Main,carly47@example.com,9812420239,4
359276,daNIEL jeNkINS,Education,Finance,Finance Officer,Santo Tomas,yrogers@example.org  ,9148442681,5
986112,scOTt TuCKeR,Accountancy,Finance,fInanCE OFFICER,Santo Tomas,QSAMPSON@EXAMPLE.NET,9839052008,5
150256,alexis benson,Computer Science,HR,DATA ANALYST,Main,holmesdennis@example.org,9917761540,1
337104,joyce tucker,Human Resource Management,Finance,hR specialiST,Main,XlyOnS@exAmPLE.net,9722998331,3
495812,lisa fuller,Communications,Admin,Finance Officer,Main,ERICHARDS@EXAMPLE.COM,9529958597,5
995830, William Warren ,Engineering,R&D,finance officer,Apalit, scarson@example.com ,9911976542,3
126714,cANdIce Dunn,Communications,Marketing,marketing associate,Main,Brenda52@Example.Org,9551284503,2
826960, Robert Perry ,Computer Science,Finance, System Administrator ,Lubao,FBAKER@EXAMPLE.ORG,9318078514,4
961741,Sheila Williams  ,Communications,Marketing, Research Assistant ,Apalit,rachelramirez@example.org,9646530348,3
140745,ruth holloway,Education,Tech,systEM admiNiSTRaTor,Main, brivera@example.com ,9862286164,4
198314,Larry Kidd,Psychology,Operations,data analyst,Apalit, louis40@example.net ,9846330073,2
971398,YOLANDA FOX,Human Resource Management,HR,hr SpeCiALIst,Main,KaUfmaNTracy@exAmpLE.org,9589863039,2
704182,HEIDI SIMPSON,Business Administration,Admin,Data Analyst,Main,aNTHonycRosbY@EXAMpLE.org,9555880648,2
768064,rEGInA SANCHeZ,Communications,Admin,PrOjEcT maNAgER,Main,xdurham@example.net,9491031142,4
791065, Steven Hughes ,Education,HR,project manager,Santo Tomas,thompsonconnie@example.org,9642311421,1
392238,JOHN OLSON,Education,Tech,system administrator,San Fernando,salazarvictoria@example.com  ,9785141173,2
293625,Tracy Cabrera  ,Psychology,HR,soFTwArE EnGiNEER,Santo Tomas,PARKSTHERESA@EXAMPLE.NET,9823284646,1
391268,marvin jacobs,Communications,Tech,MARKETING ASSOCIATE,Main,wjimenez@example.org  ,9530745758,5
877886,Travis Perry,Psychology,Marketing,marketing associate,Main,CrAiG15@eXampLE.NET,9285133385,2
988273,DOUglAS HarrIs,Psychology,Finance,finance officer,Main,aroman@example.com,9867742892,4
477049,jAsOn CRUZ,Engineering,Operations,Product Manager,Main,CCERVANTES@EXAMPLE.NET,9184971902,2
591058,hayley johnson,Communications,Operations,product manager,Mexico,wHitelEaH@ExAMpLE.CoM,9347892616,1
602535,carly fuentes,Communications,HR,System Administrator  ,Porac,Amy76@Example.Net,9279091691,5
809486,ROBERT GRAY,Business Administration,HR,Marketing Associate  ,Porac,zsharp@example.net  ,9457195334,3
509193,TARA PORTER,Political Science,Tech,system administrator,Mexico,XSHAFFER@EXAMPLE.NET,9956599551,3
659414,Bobby Miller,Communications,Admin,proDuCT mANager,Porac,XPACHECO@EXAMPLE.COM,9649991012,5
483804,ERIc WillIams,Human Resource Management,Operations,HR Specialist  ,Mexico,KENDRAHENDERSON@EXAMPLE.COM,9822152170,3
484526,Mr. Scott Bullock,Business Administration,HR, System Administrator ,Main, ellisonjames@example.com ,9174177925,3
621239,JESSICA RICHARDSON,Business Administration,Admin,markEting asSociaTE,Apalit,MMARTIN@EXAMPLE.NET,9856057837,4
356741,eRIN chAvEZ,Human Resource Management,Operations, Software Engineer ,Main,AFRENCH@EXAMPLE.COM,9737022673,1
113253,AMY WEST,Communications,Operations,FINANCE OFFICER,Porac,Mary15@Example.Com,9272180501,1
901459,COURTNEY WHITE,Accountancy,HR,software engineer,Main,hArTROberT@ExAmPlE.NeT,9812026252,5
309579, Jeremy Smith ,Psychology,Admin,Software Engineer,Main,RYAN99@EXAMPLE.NET,9414859635,1
168252,Taylor Hampton  ,Accountancy,R&D, Software Engineer ,Apalit,ymaRTIN@EXaMPle.nEt,9846690412,2
789859,karen martinez,Engineering,Tech,DATA ANALYST,Main,Adam46@Example.Com,9388858141,4
335177,Max Peterson,Psychology,Operations,Marketing Associate  ,Main,Masonkelly@Example.Net,9544006098,5
585322, Christina Houston ,Education,R&D,Finance Officer,San Fernando, jamestran@example.org ,9459761512,1
842109,Melissa Watson,Accountancy,Operations,SYSteM AdmINistrAtOR,San Fernando,Riveramelissa@Example.Org,9795445986,1
519233,steve jones,Engineering,Operations,Project Manager,Main,lAurENPERRY@EXAMPlE.OrG,9752210320,1
622837,michael smith,Political Science,HR, Finance Officer ,Porac,swelch@example.com,9231077804,1
977048,BRyAn tUrNer,Political Science,Operations,Marketing Associate  ,Main,HbARton@eXAMpLe.COm,9582918721,2
147380,Amanda Arnold,Political Science,Tech,PROJECT MANAGER,Lubao,Millerdawn@Example.Net,9577158390,5
218479,lISA bLaNkenSHip,Communications,Operations,SYSTEm AdMInIsTRaToR,Main,claudia32@example.net,9477031697,3
377047,James Bates,Communications,Marketing,SOFTWARE ENGINEER,Main,Ctaylor@Example.Com,9385930431,3
171294,alyssa hudson,Human Resource Management,Operations,FINANCE OFFICER,Main,HEATHER67@EXAMPLE.ORG,9164783743,2
611996, Samantha Tran ,Education,HR,MARKETING ASSOCIATE,Apalit, tmalone@example.com ,9713282593,5
933005, Erin Hall ,Human Resource Management,Admin,teacheR,Main, vbowman@example.net ,9467236299,1
510348,DONALD FERNANDEZ,Information Technology,Operations,Project Manager,Main,hEiDI16@ExAmpLe.coM,9473626214,5
461260,JaCQuELine maRsHAll,Computer Science,R&D,Finance Officer  ,Main,ANDREW86@EXAMPLE.NET,9563168115,3
674384, Dr. Jennifer Gordon ,Communications,Marketing,data analyst,Mexico,Campbelljill@Example.Org,9772166581,3
247863,patrick wheeler,Accountancy,R&D, Software Engineer ,Main,thoMas19@exaMPle.ORg,9760706301,4
271573,Alexis Pham,Psychology,HR,MARKETING ASSOCIATE,Santo Tomas,WEEKSGEORGE@EXAMPLE.ORG,9540751530,2
929772,kyle vincent,Computer Science,Finance, Project Manager ,Apalit,Kochjohn@Example.Com,9798274405,2
791485,BARBARA BARNES,Engineering,Marketing,DaTA anaLyST,Main,SjOhnS@EXamPLe.cOm,9513753318,3
408465,Sean HErnAndeZ,Engineering,R&D, Marketing Associate ,Main,melissahorton@example.com,9962340992,2
820930,mary burch,Human Resource Management,R&D,HR SPECIALIST,Main,ALEJANDRACARROLL@EXAMPLE.ORG,9911660937,4
343845,claire garcia md,Communications,Tech,Product Manager,Main,PReSTONJESsICA@eXAmPLe.nET,9413486362,5
530013,REBECCA WEAVER MD,Engineering,Tech,SYsTEm AdMinIstrAtOr,Main,Andreabrown@Example.Net,9919489295,2
364021,JENNIFER WEST,Political Science,R&D,FINANCE OFFICER,Lubao,Simmonsamanda@Example.Com,9770015698,4
153069,Phillip Walker  ,Human Resource Management,HR, Software Engineer ,Main,torrestodd@example.com,9793747585,3
743279,Teresa Sanders,Human Resource Management,R&D,PROJECT MANAGER,Mexico,lisadavis@example.org,9768868336,5
304934,Amanda Simpson,Engineering,R&D,SYSTEM ADMINISTRATOR,Main,tamihanson@example.net  ,9684869315,5
392131,haley figueroa,Communications,Marketing, System Administrator ,Main,vERnONPArks@EXAMplE.CoM,9528420136,4
246970,Regina Donovan,Accountancy,Marketing,DATA ANALYST,Main,BMOORE@EXAMPLE.NET,9339480168,2
107443,BRITTANY BAILEY,Accountancy,Operations,SOFTWARE ENGINEER,Main,BTURNER@EXAMPLE.ORG,9239610902,3
420748,aNNe BArnett,Information Technology,Admin,hr SpeciALiST,Santo Tomas,pgOnZAlES@ExaMple.cOM,9443223392,2
616613,mARK maHONeY,Communications,Admin,TeAcHEr,Mexico,coxdylan@example.net,9973577304,4
618896, Jamie Villarreal ,Human Resource Management,R&D,FINANCE OFFICER,Main,danielmeyer@example.net,9559837012,1
356528,aNNA moSS,Business Administration,Marketing,Data Analyst  ,Apalit, jasonmorgan@example.org ,9850691704,2
189945,DanIel HaRRelL,Business Administration,Finance,System Administrator,San Fernando,NICHOLASADAMS@EXAMPLE.ORG,9441029665,5
748254,JUSTIN PADILLA,Education,R&D,finance officer,Main,HArrIswILlIaM@ExaMpLe.neT,9166368193,3
388062,JUAN RAMOS,Accountancy,Marketing,Data Analyst,Main,lauramcclain@example.org  ,9632771077,5
994271,CHAD GARNER,Information Technology,Operations,Project Manager,Lubao,MARIA71@EXAMPLE.NET,9589897428,3
282201,AMY WANG,Human Resource Management,Tech,RESEARCH ASSISTANT,Main,therring@example.com  ,9644803946,3
762421,RYAN LUCAS,Information Technology,Admin,sYstem AdMiNIsTraTOr,Main,ewalsh@example.org,9945581399,3
477503,Charles Meyer,Psychology,Operations,DATA ANALYST,Candaba,XSANCHEZ@EXAMPLE.ORG,9227410191,4
529209,SHaNnon knOx,Communications,R&D,ProDucT MANAGEr,Main,crawforderic@example.org,9483667631,5
135948,BRENT HALL,Business Administration,Marketing,finance officer,Main, murphyrobert@example.org ,9289071696,1
390909,TRAVIS EVANS,Information Technology,Admin,system administrator,Mexico,Fcombs@Example.Net,9974550085,5
682179,JeSSiCa MUlliNs,Psychology,HR,PRODUCT MANAGER,Main,perkinSLOREtTA@EXaMPLE.NET,9448366103,2
744941,Katelyn Parrish,Engineering,Admin,teacher,Candaba,Michael65@Example.Com,9839257159,4
118455,TERRI LEBLANC,Education,HR, Product Manager ,Main,bakertiffany@example.com  ,9214280543,2
977495,Thomas Lewis,Psychology,R&D,HR SPECIALIST,Candaba,wendy72@example.org,9613922360,4
406267, Daniel Mendez ,Engineering,Tech, Project Manager ,Apalit,michael50@example.org  ,9610254358,1
548082,Amanda Faulkner,Psychology,Operations,marketing associate,Santo Tomas, gsanchez@example.net ,9281848431,3
367543,Jennifer Vargas,Communications,R&D,Finance Officer,Santo Tomas,dcarter@example.org  ,9926069242,3
934230, Amanda Hanson DDS ,Education,Admin,Product Manager  ,Apalit,eharris@example.org,9993183557,2
281915,TANYA MILLER,Psychology,Operations,finance officer,Main,Denise45@Example.Net,9718047295,2
845904,matthew keith,Information Technology,Tech,Research Assistant,Porac,Jeffreytaylor@Example.Org,9268619759,2
476516,SUsan PRiCE,Computer Science,Admin,Software Engineer  ,Lubao,patrick05@example.net,9179564871,5
378701,Christina Abbott  ,Information Technology,Tech,research assistant,Lubao,WELLSJACOB@EXAMPLE.COM,9228983283,5
628680,john burns,Political Science,Operations,Project Manager  ,Main,RBAIRD@EXAMPLE.COM,9893098861,3
981099,Lori Barajas Md,Engineering,Operations,marketing associate,Santo Tomas,andeRSOnAAron@eXample.orG,9182238466,3
137248,zachary thornton,Engineering,R&D,Project Manager  ,Mexico,SHANNON82@EXAMPLE.NET,9123242605,3
330354,Jason Parker,Engineering,Tech,Data Analyst,Main,Bennettjames@Example.Org,9153352662,1
928927,ALAN MOORE,Human Resource Management,Finance,Teacher  ,Candaba,FERNANDOHUFFMAN@EXAMPLE.ORG,9520649996,1
876023,MARK HICKS,Engineering,Operations,Teacher  ,Candaba,teresa00@example.net,9133045231,4
605632,RANDY MOONEY,Communications,HR,fiNAncE OfFIceR,Candaba,MITCHELLMICHAEL@EXAMPLE.COM,9649960811,3
737705, Michael Cervantes ,Education,Finance,FInAncE OffICEr,Apalit, joshua10@example.org ,9920640714,5
577675,TINA SPENCE,Human Resource Management,Operations,Research Assistant  ,Porac,richard51@example.org,9523613464,3
890585,BRIAN WALLACE,Human Resource Management,R&D,SOFTWARE ENGINEER,Lubao,kellythomas@example.com,9747639969,5
833080,Douglas Craig,Human Resource Management,R&D,FINANCE OFFICER,Main,REILLYHEATHER@EXAMPLE.NET,9448746757,5
313157,Sean Wilkins,Business Administration,Marketing,Project Manager,Main,TcHrISteNSen@EXampLe.NeT,9170186300,5
139793,MELISSA CLARK,Computer Science,HR,PRODUCT MANAGER,Main,Beasleychelsea@Example.Org,9736682925,5
387680,ANTHONY HUNTER,Computer Science,HR,research assistant,Main,zbell@example.org  ,9180468635,4
705011,James Diaz  ,Psychology,Marketing,system administrator,Mexico,SCHNEIDERJULIE@EXAMPLE.COM,9762114004,3
405415,Daniel Lee  ,Human Resource Management,R&D, System Administrator ,Main,DLOPEZ@EXAMPLE.ORG,9232900805,5
320526,Crystal Salazar,Information Technology,Operations,maRkEtINg aSsOCiatE,San Fernando,Brianbright@Example.Org,9374764981,3
245523,gina bowman,Political Science,Marketing,system administrator,Main, walkeraudrey@example.com ,9225896877,3
253762,CHRISTOPHER SMITH,Accountancy,Operations,marketing associate,Santo Tomas,iwarren@example.com,9972003017,2
836115,tiffany hart,Computer Science,Operations,Research Assistant  ,Main,JEffrEY84@EXaMpLe.cOm,9886857911,3
948193, Jason Gibson ,Communications,R&D,DATA ANALYST,Apalit,sFLeMiNg@ExAMple.oRg,9773505873,4
670941,Samuel Taylor  ,Computer Science,Finance,PROJECT MANAGER,Lubao,morgan25@example.com,9513441108,4
746242,ANGELA DAVIS,Business Administration,Tech,Software Engineer,Main, davidhall@example.org ,9234204106,4
117533,GaIl JoNES,Business Administration,Finance, Marketing Associate ,Main,uwalker@example.com,9844045938,2
954792,ASHLEY SMITH,Computer Science,Admin, Finance Officer ,Lubao,ccooper@example.com,9412932089,1
761378,Sara Hernandez,Political Science,HR,marketing associate,Santo Tomas,cARlSONJEAn@ExampLE.org,9219794840,5
379739,Ms. Melissa Alexander  ,Information Technology,Tech,HR Specialist  ,San Fernando,BOYDSUSAN@EXAMPLE.NET,9211026870,1
210288,erIKA moreNo,Education,R&D,prOJecT maNAgEr,Apalit, nwhite@example.net ,9882655989,2
652809, Frank Skinner ,Information Technology,HR,teacher,San Fernando, osolomon@example.org ,9298449825,4
432770,chArlEs CoNlEy,Business Administration,Tech,FINANCE OFFICER,Candaba,TUCKERMICHEAL@EXAMPLE.COM,9336231897,1
794448, Micheal Mayo ,Information Technology,Finance,system administrator,Mexico,jefferydominguez@example.net,9531419603,5
318712,Mark Malone  ,Engineering,HR,Research Assistant,Lubao,BRADLEYLOPEZ@EXAMPLE.COM,9539933674,4
427769, William Espinoza ,Psychology,Operations,teacher,San Fernando,melanieolson@example.net,9688224746,2
577857,Katrina Stevens,Human Resource Management,R&D,marKEtINg assoCiATE,San Fernando,Ryanjacobson@Example.Org,9351706430,1
524358,ronald casey,Information Technology,HR,project manager,Main,RAYmONDWIlson@eXaMPLe.OrG,9758107911,3
887245, Joshua Lamb ,Information Technology,Marketing,Software Engineer  ,Main,lindseygreen@example.net,9676582983,2
161364,ChrIstiNA LEsTeR,Political Science,Admin,FINANCE OFFICER,Main,scottcody@example.org,9638526518,2
643183,John Moore,Engineering,Admin,teacher,Lubao,floressean@example.org,9872602176,4
726779,SHeLleY PricE,Psychology,Admin,FINANCE OFFICER,Main,megan12@example.org  ,9827305221,1
478113,christopher glenn,Information Technology,Finance,research assistant,Main, rebecca53@example.com ,9255149676,1
400784,wanda wright,Human Resource Management,Tech,FINANCE OFFICER,Main,Aaronwilson@Example.Net,9785395043,5
793196,MICHELLE CARTER,Psychology,Marketing, System Administrator ,Lubao,smorrison@example.net,9521403946,1
777405,krIStin gREeN dDs,Accountancy,Marketing,DATA ANALYST,Porac,Michaeljones@Example.Net,9266881778,2
600527,Lisa Thomas  ,Psychology,Tech,Data Analyst,Lubao,casey57@example.com  ,9679473242,3
263590,christopher perez,Political Science,Marketing,software engineer,Candaba,pbernard@example.org,9718052232,4
479963,LINDSEY FLORES,Accountancy,Finance,pROJect MAnAGEr,Lubao, coryfoster@example.org ,9610389231,2
215591,KElLI andERSoN,Psychology,Admin,Marketing Associate,Santo Tomas,XrOss@ExAMPlE.COm,9624339476,3
179171,Rebecca Keith,Communications,HR,finance officer,Candaba,jblack@example.org,9532151094,2
536309,JeNNifER caRRoll,Communications,Operations,data analyst,Main,Stephen75@Example.Org,9372355991,5
914201,denise king,Computer Science,Marketing, System Administrator ,Apalit,Davisjessica@Example.Org,9646746336,1
126010,DIANA SMITH,Human Resource Management,Tech,System Administrator  ,San Fernando,pBEasLEY@exaMpLe.OrG,9520665210,3
336286,Michael Stuart  ,Political Science,Marketing,product manager,Main,dhill@example.com  ,9275126746,3
684971,Traci Wilson  ,Computer Science,Tech,project manager,Candaba,Michaelrodgers@Example.Org,9936145326,4
945134,FRANK HODGES,Business Administration,Operations,Research Assistant  ,Santo Tomas,Smithlisa@Example.Com,9576791224,2
487262,matthew jones,Education,Finance,Project Manager  ,Mexico,WILLISTERRY@EXAMPLE.NET,9289374033,1
647894,mr. jusTin hOdgE,Human Resource Management,Marketing,DATA ANALYST,Mexico,MicHeAL89@eXamplE.Net,9459180183,1
200467,lisa macdonald,Political Science,Admin,RESEARCH ASSISTANT,Santo Tomas,ecarlson@example.com,9653249500,5
258729,Matthew Martinez,Communications,Tech,MArKeting ASSOCIate,Main,shorton@example.org,9158225903,2
476267,LINDSEY LUNA,Psychology,Marketing, System Administrator ,Porac,Courtneyanderson@Example.Net,9942473243,1
251851,shane brown,Information Technology,HR,teacher,Santo Tomas,SUZANNEGRIFFITH@EXAMPLE.COM,9844503298,3
111672,Mary Erickson,Engineering,Operations,System Administrator  ,Apalit, nealgloria@example.com ,9152211694,1
752280, Donald Wilkinson ,Engineering,Tech,fiNanCE ofFicer,San Fernando, patriciamartinez@example.net ,9871690638,2
536712,sUSaN FARMeR,Psychology,Tech,Teacher,Main,JONATHANHOWELL@EXAMPLE.NET,9535506365,3
610904,VALERIE KLEIN,Accountancy,Operations,TEACHER,Santo Tomas,charles97@example.org,9250246799,1
674519,David Wagner,Education,Admin,Finance Officer,Main, jonesmichael@example.org ,9322359944,1
748603,Mrs. Lauren Miller,Computer Science,Admin,SOFtwAre EnGINeer,Mexico,antonIoMoRAles@EXAmpLe.CoM,9164223966,3
737075,bRENt turNER,Information Technology,R&D,TEACHER,Lubao, chavezlarry@example.org ,9952137308,1
726759,Andrew Hill,Computer Science,Tech,fiNAnCE OFfICEr,Porac,AyANG@EXAmPLE.Net,9740634909,5
783376,thomas murphy,Information Technology,Marketing, Finance Officer ,Main,kristi07@example.org  ,9929299246,3
129608,KEnnetH dOuGHerTy,Education,Operations,product manager,Main,KIMCOLLINS@EXAMPLE.ORG,9812087174,3
259988,steven hamilton,Business Administration,Operations,Finance Officer,Lubao,warevANEssa@EXaMPLe.Com,9824661340,1
858374,LesLiE robErTs,Accountancy,Marketing,project manager,Main, randy83@example.org ,9216056768,3
284854,steven willis,Human Resource Management,Operations,software engineer,Main,cory71@example.net  ,9818160402,5
955945,Gregory Oneill,Accountancy,Operations,research assistant,Main,ASHLEY00@EXAMPLE.COM,9552771024,4
237483,moLLy NEWTOn,Information Technology,Finance,Finance Officer,San Fernando,MORTONKATHERINE@EXAMPLE.NET,9224909161,1
656437,James Simmons  ,Accountancy,Marketing,FINANCE OFFICER,Porac, potterashley@example.com ,9246570512,5
375677,Samuel Garcia,Psychology,Admin,finance officer,Main,RMASON@EXAMPLE.ORG,9877173578,4
